chromosome	coordinate	coverage
ENA|K03455|K03455.1	261	953
ENA|K03455|K03455.1	262	954
ENA|K03455|K03455.1	263	954
ENA|K03455|K03455.1	264	952
ENA|K03455|K03455.1	265	954
ENA|K03455|K03455.1	266	953
ENA|K03455|K03455.1	267	952
ENA|K03455|K03455.1	268	950
ENA|K03455|K03455.1	269	947
ENA|K03455|K03455.1	270	943
ENA|K03455|K03455.1	271	943
ENA|K03455|K03455.1	272	946
ENA|K03455|K03455.1	273	870
ENA|K03455|K03455.1	274	890
ENA|K03455|K03455.1	275	867
ENA|K03455|K03455.1	276	868
ENA|K03455|K03455.1	277	872
ENA|K03455|K03455.1	278	870
ENA|K03455|K03455.1	279	868
ENA|K03455|K03455.1	280	864
ENA|K03455|K03455.1	281	862
ENA|K03455|K03455.1	282	864
ENA|K03455|K03455.1	283	859
ENA|K03455|K03455.1	284	856
ENA|K03455|K03455.1	285	852
ENA|K03455|K03455.1	286	854
ENA|K03455|K03455.1	287	865
ENA|K03455|K03455.1	288	823
ENA|K03455|K03455.1	289	792
ENA|K03455|K03455.1	290	787
ENA|K03455|K03455.1	291	782
ENA|K03455|K03455.1	292	780
ENA|K03455|K03455.1	293	779
ENA|K03455|K03455.1	294	775
ENA|K03455|K03455.1	295	774
ENA|K03455|K03455.1	296	788
ENA|K03455|K03455.1	297	787
ENA|K03455|K03455.1	298	789
ENA|K03455|K03455.1	299	784
ENA|K03455|K03455.1	300	791
ENA|K03455|K03455.1	301	790
ENA|K03455|K03455.1	302	806
ENA|K03455|K03455.1	303	796
ENA|K03455|K03455.1	304	787
ENA|K03455|K03455.1	305	793
ENA|K03455|K03455.1	306	794
ENA|K03455|K03455.1	307	809
ENA|K03455|K03455.1	308	812
ENA|K03455|K03455.1	309	803
ENA|K03455|K03455.1	310	807
ENA|K03455|K03455.1	311	809
ENA|K03455|K03455.1	312	812
ENA|K03455|K03455.1	313	809
ENA|K03455|K03455.1	314	828
ENA|K03455|K03455.1	315	832
ENA|K03455|K03455.1	316	846
ENA|K03455|K03455.1	317	860
ENA|K03455|K03455.1	318	856
ENA|K03455|K03455.1	319	851
ENA|K03455|K03455.1	320	857
ENA|K03455|K03455.1	321	855
ENA|K03455|K03455.1	322	890
ENA|K03455|K03455.1	323	868
ENA|K03455|K03455.1	324	849
ENA|K03455|K03455.1	325	841
ENA|K03455|K03455.1	326	848
ENA|K03455|K03455.1	327	825
ENA|K03455|K03455.1	328	879
ENA|K03455|K03455.1	329	734
ENA|K03455|K03455.1	330	721
ENA|K03455|K03455.1	331	737
ENA|K03455|K03455.1	332	745
ENA|K03455|K03455.1	333	747
ENA|K03455|K03455.1	334	743
ENA|K03455|K03455.1	335	725
ENA|K03455|K03455.1	336	724
ENA|K03455|K03455.1	337	726
ENA|K03455|K03455.1	338	734
ENA|K03455|K03455.1	339	773
ENA|K03455|K03455.1	340	776
ENA|K03455|K03455.1	341	753
ENA|K03455|K03455.1	342	758
ENA|K03455|K03455.1	343	757
ENA|K03455|K03455.1	344	820
ENA|K03455|K03455.1	345	823
ENA|K03455|K03455.1	346	848
ENA|K03455|K03455.1	347	849
ENA|K03455|K03455.1	348	721
ENA|K03455|K03455.1	349	720
ENA|K03455|K03455.1	350	721
ENA|K03455|K03455.1	351	723
ENA|K03455|K03455.1	352	729
ENA|K03455|K03455.1	353	722
ENA|K03455|K03455.1	354	725
ENA|K03455|K03455.1	355	718
ENA|K03455|K03455.1	356	721
ENA|K03455|K03455.1	357	713
ENA|K03455|K03455.1	358	721
ENA|K03455|K03455.1	359	724
ENA|K03455|K03455.1	360	728
ENA|K03455|K03455.1	361	723
ENA|K03455|K03455.1	362	719
ENA|K03455|K03455.1	363	718
ENA|K03455|K03455.1	364	717
ENA|K03455|K03455.1	365	720
ENA|K03455|K03455.1	366	719
ENA|K03455|K03455.1	367	720
ENA|K03455|K03455.1	368	723
ENA|K03455|K03455.1	369	715
ENA|K03455|K03455.1	370	722
ENA|K03455|K03455.1	371	722
ENA|K03455|K03455.1	372	724
ENA|K03455|K03455.1	373	723
ENA|K03455|K03455.1	374	719
ENA|K03455|K03455.1	375	724
ENA|K03455|K03455.1	376	723
ENA|K03455|K03455.1	377	726
ENA|K03455|K03455.1	378	715
ENA|K03455|K03455.1	379	709
ENA|K03455|K03455.1	380	709
ENA|K03455|K03455.1	381	708
ENA|K03455|K03455.1	382	711
ENA|K03455|K03455.1	383	700
ENA|K03455|K03455.1	384	695
ENA|K03455|K03455.1	385	698
ENA|K03455|K03455.1	386	688
ENA|K03455|K03455.1	387	690
ENA|K03455|K03455.1	388	678
ENA|K03455|K03455.1	389	686
ENA|K03455|K03455.1	390	685
ENA|K03455|K03455.1	391	685
ENA|K03455|K03455.1	392	687
ENA|K03455|K03455.1	393	678
ENA|K03455|K03455.1	394	685
ENA|K03455|K03455.1	395	686
ENA|K03455|K03455.1	396	688
ENA|K03455|K03455.1	397	690
ENA|K03455|K03455.1	398	670
ENA|K03455|K03455.1	399	671
ENA|K03455|K03455.1	400	666
ENA|K03455|K03455.1	401	664
ENA|K03455|K03455.1	402	668
ENA|K03455|K03455.1	403	636
ENA|K03455|K03455.1	404	637
ENA|K03455|K03455.1	405	631
ENA|K03455|K03455.1	406	631
ENA|K03455|K03455.1	407	630
ENA|K03455|K03455.1	408	627
ENA|K03455|K03455.1	409	627
ENA|K03455|K03455.1	410	623
ENA|K03455|K03455.1	411	625
ENA|K03455|K03455.1	412	625
ENA|K03455|K03455.1	413	624
ENA|K03455|K03455.1	414	627
ENA|K03455|K03455.1	415	623
ENA|K03455|K03455.1	416	625
ENA|K03455|K03455.1	417	626
ENA|K03455|K03455.1	418	639
ENA|K03455|K03455.1	419	639
ENA|K03455|K03455.1	420	626
ENA|K03455|K03455.1	421	609
ENA|K03455|K03455.1	422	610
ENA|K03455|K03455.1	423	594
ENA|K03455|K03455.1	424	611
ENA|K03455|K03455.1	425	606
ENA|K03455|K03455.1	426	604
ENA|K03455|K03455.1	427	603
ENA|K03455|K03455.1	428	589
ENA|K03455|K03455.1	429	585
ENA|K03455|K03455.1	430	588
ENA|K03455|K03455.1	431	578
ENA|K03455|K03455.1	432	577
ENA|K03455|K03455.1	433	558
ENA|K03455|K03455.1	434	522
ENA|K03455|K03455.1	435	522
ENA|K03455|K03455.1	436	520
ENA|K03455|K03455.1	437	518
ENA|K03455|K03455.1	438	523
ENA|K03455|K03455.1	439	522
ENA|K03455|K03455.1	440	518
ENA|K03455|K03455.1	441	519
ENA|K03455|K03455.1	442	518
ENA|K03455|K03455.1	443	519
ENA|K03455|K03455.1	444	520
ENA|K03455|K03455.1	445	517
ENA|K03455|K03455.1	446	523
ENA|K03455|K03455.1	447	523
ENA|K03455|K03455.1	448	483
ENA|K03455|K03455.1	449	486
ENA|K03455|K03455.1	450	485
ENA|K03455|K03455.1	451	487
ENA|K03455|K03455.1	452	494
ENA|K03455|K03455.1	453	471
ENA|K03455|K03455.1	454	471
ENA|K03455|K03455.1	455	477
ENA|K03455|K03455.1	456	477
ENA|K03455|K03455.1	457	474
ENA|K03455|K03455.1	458	457
ENA|K03455|K03455.1	459	475
ENA|K03455|K03455.1	460	502
ENA|K03455|K03455.1	461	521
ENA|K03455|K03455.1	462	555
ENA|K03455|K03455.1	463	551
ENA|K03455|K03455.1	464	988
ENA|K03455|K03455.1	465	1006
ENA|K03455|K03455.1	466	998
ENA|K03455|K03455.1	467	998
ENA|K03455|K03455.1	468	1010
ENA|K03455|K03455.1	469	1506
ENA|K03455|K03455.1	470	1522
ENA|K03455|K03455.1	471	1542
ENA|K03455|K03455.1	472	1544
ENA|K03455|K03455.1	473	1523
ENA|K03455|K03455.1	474	1840
ENA|K03455|K03455.1	475	1938
ENA|K03455|K03455.1	476	1947
ENA|K03455|K03455.1	477	1949
ENA|K03455|K03455.1	478	1939
ENA|K03455|K03455.1	479	2012
ENA|K03455|K03455.1	480	2017
ENA|K03455|K03455.1	481	2082
ENA|K03455|K03455.1	482	2108
ENA|K03455|K03455.1	483	2103
ENA|K03455|K03455.1	484	2114
ENA|K03455|K03455.1	485	2131
ENA|K03455|K03455.1	486	2136
ENA|K03455|K03455.1	487	2146
ENA|K03455|K03455.1	488	2140
ENA|K03455|K03455.1	489	2164
ENA|K03455|K03455.1	490	2198
ENA|K03455|K03455.1	491	2247
ENA|K03455|K03455.1	492	2281
ENA|K03455|K03455.1	493	2279
ENA|K03455|K03455.1	494	2298
ENA|K03455|K03455.1	495	2298
ENA|K03455|K03455.1	496	2562
ENA|K03455|K03455.1	497	2670
ENA|K03455|K03455.1	498	2686
ENA|K03455|K03455.1	499	2710
ENA|K03455|K03455.1	500	2774
ENA|K03455|K03455.1	501	2805
ENA|K03455|K03455.1	502	2911
ENA|K03455|K03455.1	503	2918
ENA|K03455|K03455.1	504	2966
ENA|K03455|K03455.1	505	2998
ENA|K03455|K03455.1	506	2984
ENA|K03455|K03455.1	507	2984
ENA|K03455|K03455.1	508	2982
ENA|K03455|K03455.1	509	3027
ENA|K03455|K03455.1	510	3068
ENA|K03455|K03455.1	511	3075
ENA|K03455|K03455.1	512	3080
ENA|K03455|K03455.1	513	3075
ENA|K03455|K03455.1	514	3164
ENA|K03455|K03455.1	515	3155
ENA|K03455|K03455.1	516	3612
ENA|K03455|K03455.1	517	3618
ENA|K03455|K03455.1	518	3605
ENA|K03455|K03455.1	519	3601
ENA|K03455|K03455.1	520	3600
ENA|K03455|K03455.1	521	3638
ENA|K03455|K03455.1	522	3650
ENA|K03455|K03455.1	523	3674
ENA|K03455|K03455.1	524	3677
ENA|K03455|K03455.1	525	3628
ENA|K03455|K03455.1	526	3825
ENA|K03455|K03455.1	527	3830
ENA|K03455|K03455.1	528	3859
ENA|K03455|K03455.1	529	3860
ENA|K03455|K03455.1	530	3850
ENA|K03455|K03455.1	531	3858
ENA|K03455|K03455.1	532	3898
ENA|K03455|K03455.1	533	3913
ENA|K03455|K03455.1	534	3916
ENA|K03455|K03455.1	535	3867
ENA|K03455|K03455.1	536	3927
ENA|K03455|K03455.1	537	3995
ENA|K03455|K03455.1	538	4005
ENA|K03455|K03455.1	539	4012
ENA|K03455|K03455.1	540	4005
ENA|K03455|K03455.1	541	3986
ENA|K03455|K03455.1	542	4006
ENA|K03455|K03455.1	543	4002
ENA|K03455|K03455.1	544	4081
ENA|K03455|K03455.1	545	4073
ENA|K03455|K03455.1	546	5236
ENA|K03455|K03455.1	547	5396
ENA|K03455|K03455.1	548	5482
ENA|K03455|K03455.1	549	5499
ENA|K03455|K03455.1	550	5605
ENA|K03455|K03455.1	551	6441
ENA|K03455|K03455.1	552	6441
ENA|K03455|K03455.1	553	6442
ENA|K03455|K03455.1	554	6440
ENA|K03455|K03455.1	555	6376
ENA|K03455|K03455.1	556	6500
ENA|K03455|K03455.1	557	6495
ENA|K03455|K03455.1	558	6505
ENA|K03455|K03455.1	559	6500
ENA|K03455|K03455.1	560	6510
ENA|K03455|K03455.1	561	6510
ENA|K03455|K03455.1	562	6510
ENA|K03455|K03455.1	563	6510
ENA|K03455|K03455.1	564	6510
ENA|K03455|K03455.1	565	6508
ENA|K03455|K03455.1	566	6519
ENA|K03455|K03455.1	567	6518
ENA|K03455|K03455.1	568	6520
ENA|K03455|K03455.1	569	6521
ENA|K03455|K03455.1	570	6522
ENA|K03455|K03455.1	571	6524
ENA|K03455|K03455.1	572	6521
ENA|K03455|K03455.1	573	6526
ENA|K03455|K03455.1	574	6520
ENA|K03455|K03455.1	575	6527
ENA|K03455|K03455.1	576	6525
ENA|K03455|K03455.1	577	6527
ENA|K03455|K03455.1	578	6529
ENA|K03455|K03455.1	579	6528
ENA|K03455|K03455.1	580	6527
ENA|K03455|K03455.1	581	6534
ENA|K03455|K03455.1	582	6528
ENA|K03455|K03455.1	583	6541
ENA|K03455|K03455.1	584	6541
ENA|K03455|K03455.1	585	6540
ENA|K03455|K03455.1	586	6543
ENA|K03455|K03455.1	587	6539
ENA|K03455|K03455.1	588	6541
ENA|K03455|K03455.1	589	6543
ENA|K03455|K03455.1	590	6538
ENA|K03455|K03455.1	591	6549
ENA|K03455|K03455.1	592	6522
ENA|K03455|K03455.1	593	6556
ENA|K03455|K03455.1	594	6557
ENA|K03455|K03455.1	595	6560
ENA|K03455|K03455.1	596	6564
ENA|K03455|K03455.1	597	6564
ENA|K03455|K03455.1	598	6572
ENA|K03455|K03455.1	599	6573
ENA|K03455|K03455.1	600	6577
ENA|K03455|K03455.1	601	6577
ENA|K03455|K03455.1	602	6580
ENA|K03455|K03455.1	603	6576
ENA|K03455|K03455.1	604	6578
ENA|K03455|K03455.1	605	6575
ENA|K03455|K03455.1	606	6550
ENA|K03455|K03455.1	607	6572
ENA|K03455|K03455.1	608	6595
ENA|K03455|K03455.1	609	6596
ENA|K03455|K03455.1	610	6596
ENA|K03455|K03455.1	611	6593
ENA|K03455|K03455.1	612	6597
ENA|K03455|K03455.1	613	6579
ENA|K03455|K03455.1	614	6590
ENA|K03455|K03455.1	615	6559
ENA|K03455|K03455.1	616	6640
ENA|K03455|K03455.1	617	6637
ENA|K03455|K03455.1	618	6643
ENA|K03455|K03455.1	619	6635
ENA|K03455|K03455.1	620	6648
ENA|K03455|K03455.1	621	6649
ENA|K03455|K03455.1	622	6646
ENA|K03455|K03455.1	623	6648
ENA|K03455|K03455.1	624	6649
ENA|K03455|K03455.1	625	6604
ENA|K03455|K03455.1	626	6654
ENA|K03455|K03455.1	627	6651
ENA|K03455|K03455.1	628	6653
ENA|K03455|K03455.1	629	6655
ENA|K03455|K03455.1	630	6657
ENA|K03455|K03455.1	631	6657
ENA|K03455|K03455.1	632	6657
ENA|K03455|K03455.1	633	6655
ENA|K03455|K03455.1	634	6647
ENA|K03455|K03455.1	635	6664
ENA|K03455|K03455.1	636	6645
ENA|K03455|K03455.1	637	6665
ENA|K03455|K03455.1	638	6665
ENA|K03455|K03455.1	639	6656
ENA|K03455|K03455.1	640	6665
ENA|K03455|K03455.1	641	6667
ENA|K03455|K03455.1	642	6651
ENA|K03455|K03455.1	643	6659
ENA|K03455|K03455.1	644	6664
ENA|K03455|K03455.1	645	6646
ENA|K03455|K03455.1	646	6641
ENA|K03455|K03455.1	647	6648
ENA|K03455|K03455.1	648	6604
ENA|K03455|K03455.1	649	6694
ENA|K03455|K03455.1	650	6691
ENA|K03455|K03455.1	651	6701
ENA|K03455|K03455.1	652	6692
ENA|K03455|K03455.1	653	6700
ENA|K03455|K03455.1	654	6705
ENA|K03455|K03455.1	655	6671
ENA|K03455|K03455.1	656	6679
ENA|K03455|K03455.1	657	6665
ENA|K03455|K03455.1	658	6668
ENA|K03455|K03455.1	659	6501
ENA|K03455|K03455.1	660	6546
ENA|K03455|K03455.1	661	6540
ENA|K03455|K03455.1	662	6533
ENA|K03455|K03455.1	663	6661
ENA|K03455|K03455.1	664	6683
ENA|K03455|K03455.1	665	6747
ENA|K03455|K03455.1	666	6809
ENA|K03455|K03455.1	667	6785
ENA|K03455|K03455.1	668	6815
ENA|K03455|K03455.1	669	6811
ENA|K03455|K03455.1	670	6829
ENA|K03455|K03455.1	671	6835
ENA|K03455|K03455.1	672	6831
ENA|K03455|K03455.1	673	6787
ENA|K03455|K03455.1	674	6675
ENA|K03455|K03455.1	675	6785
ENA|K03455|K03455.1	676	6797
ENA|K03455|K03455.1	677	6881
ENA|K03455|K03455.1	678	6881
ENA|K03455|K03455.1	679	6865
ENA|K03455|K03455.1	680	6871
ENA|K03455|K03455.1	681	6868
ENA|K03455|K03455.1	682	6879
ENA|K03455|K03455.1	683	6857
ENA|K03455|K03455.1	684	6878
ENA|K03455|K03455.1	685	6881
ENA|K03455|K03455.1	686	6845
ENA|K03455|K03455.1	687	6857
ENA|K03455|K03455.1	688	6900
ENA|K03455|K03455.1	689	6903
ENA|K03455|K03455.1	690	6765
ENA|K03455|K03455.1	691	6798
ENA|K03455|K03455.1	692	6775
ENA|K03455|K03455.1	693	6742
ENA|K03455|K03455.1	694	6760
ENA|K03455|K03455.1	695	6692
ENA|K03455|K03455.1	696	6901
ENA|K03455|K03455.1	697	6881
ENA|K03455|K03455.1	698	6855
ENA|K03455|K03455.1	699	6906
ENA|K03455|K03455.1	700	6912
ENA|K03455|K03455.1	701	6907
ENA|K03455|K03455.1	702	6898
ENA|K03455|K03455.1	703	6874
ENA|K03455|K03455.1	704	6578
ENA|K03455|K03455.1	705	6753
ENA|K03455|K03455.1	706	6929
ENA|K03455|K03455.1	707	6938
ENA|K03455|K03455.1	708	6939
ENA|K03455|K03455.1	709	6937
ENA|K03455|K03455.1	710	6896
ENA|K03455|K03455.1	711	6882
ENA|K03455|K03455.1	712	6846
ENA|K03455|K03455.1	713	6591
ENA|K03455|K03455.1	714	6381
ENA|K03455|K03455.1	715	6504
ENA|K03455|K03455.1	716	6573
ENA|K03455|K03455.1	717	6476
ENA|K03455|K03455.1	718	6636
ENA|K03455|K03455.1	719	6622
ENA|K03455|K03455.1	720	6582
ENA|K03455|K03455.1	721	6561
ENA|K03455|K03455.1	722	6500
ENA|K03455|K03455.1	723	6528
ENA|K03455|K03455.1	724	6790
ENA|K03455|K03455.1	725	6586
ENA|K03455|K03455.1	726	6570
ENA|K03455|K03455.1	727	6594
ENA|K03455|K03455.1	728	6524
ENA|K03455|K03455.1	729	6392
ENA|K03455|K03455.1	730	6067
ENA|K03455|K03455.1	731	6311
ENA|K03455|K03455.1	732	6363
ENA|K03455|K03455.1	733	6430
ENA|K03455|K03455.1	734	6422
ENA|K03455|K03455.1	735	6243
ENA|K03455|K03455.1	736	6453
ENA|K03455|K03455.1	737	6574
ENA|K03455|K03455.1	738	6460
ENA|K03455|K03455.1	739	6642
ENA|K03455|K03455.1	740	6172
ENA|K03455|K03455.1	741	6439
ENA|K03455|K03455.1	742	6298
ENA|K03455|K03455.1	743	6837
ENA|K03455|K03455.1	744	6868
ENA|K03455|K03455.1	745	6862
ENA|K03455|K03455.1	746	6774
ENA|K03455|K03455.1	747	6713
ENA|K03455|K03455.1	748	6619
ENA|K03455|K03455.1	749	6784
ENA|K03455|K03455.1	750	6872
ENA|K03455|K03455.1	751	6780
ENA|K03455|K03455.1	752	6797
ENA|K03455|K03455.1	753	6631
ENA|K03455|K03455.1	754	6537
